,aspect_term,polarity,review_text
0,['staff'],2,"['but', 'the', 'aspect', 'term', 'was', 'so', 'horrible', 'to', 'us']"
1,['food'],0,"['to', 'be', 'completely', 'fair', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'aspect', 'term', 'which', 'was', 'above', 'average', 'but', ""couldn't"", 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'teodora']"
2,['food'],0,"['the', 'aspect', 'term', 'is', 'uniformly', 'exceptional', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', 'whether', ""it's"", 'on', 'the', 'menu', 'or', 'not']"
3,['kitchen'],0,"['the', 'food', 'is', 'uniformly', 'exceptional', 'with', 'a', 'very', 'capable', 'aspect', 'term', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', 'whether', ""it's"", 'on', 'the', 'menu', 'or', 'not']"
4,['menu'],1,"['the', 'food', 'is', 'uniformly', 'exceptional', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', 'whether', ""it's"", 'on', 'the', 'aspect', 'term', 'or', 'not']"
5,['food'],0,"['not', 'only', 'was', 'the', 'aspect', 'term', 'outstanding', 'but', 'the', 'little', ""'perks'"", 'were', 'great']"
6,['perks'],0,"['not', 'only', 'was', 'the', 'food', 'outstanding', 'but', 'the', 'little', ""'aspect"", ""term'"", 'were', 'great']"
7,"['orrechiete', 'with', 'sausage', 'and', 'chicken']",0,"['our', 'agreed', 'favorite', 'is', 'the', 'aspect', 'term', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats']"
8,['waiters'],0,"['our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'the', 'aspect', 'term', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats']"
9,['meats'],1,"['our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'aspect', 'term']"
10,['dish'],1,"['our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'aspect', 'term', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats']"
